name,url,country,pageid,revid,ores
Moeen Marastial,https://en.wikipedia.org/wiki/Moeen_Marastial,Afghanistan,64024293,1102907176,Start
Ahmad Massoud,https://en.wikipedia.org/wiki/Ahmad_Massoud,Afghanistan,51273009,1112608262,C
Ahmad Wali Massoud,https://en.wikipedia.org/wiki/Ahmad_Wali_Massoud,Afghanistan,34682634,1108236868,Start
Mohammad Daud Miraki,https://en.wikipedia.org/wiki/Mohammad_Daud_Miraki,Afghanistan,24781312,1112192884,C
Abdul Sattar Mirzakwal,https://en.wikipedia.org/wiki/Abdul_Sattar_Mirzakwal,Afghanistan,68481190,1044450376,Stub
Abdul Karim Misaq,https://en.wikipedia.org/wiki/Abdul_Karim_Misaq,Afghanistan,69128654,1052669338,Stub
Ali Mohammad (politician),https://en.wikipedia.org/wiki/Ali_Mohammad_(politician),Afghanistan,35520084,1050463798,Stub
Nasruddin Mohseni,https://en.wikipedia.org/wiki/Nasruddin_Mohseni,Afghanistan,35507800,1095044526,Start
Davood Moradian,https://en.wikipedia.org/wiki/Davood_Moradian,Afghanistan,41428570,1106284627,Stub
Zalmai Mujadidi,https://en.wikipedia.org/wiki/Zalmai_Mujadidi,Afghanistan,34497282,1104635001,Start
Fazal Haq Mujahid,https://en.wikipedia.org/wiki/Fazal_Haq_Mujahid,Afghanistan,31141810,1113267490,C
Rahmatullah Nabil,https://en.wikipedia.org/wiki/Rahmatullah_Nabil,Afghanistan,40438168,1112496538,Start
Sardar Mohammad Nadir Naeem,https://en.wikipedia.org/wiki/Sardar_Mohammad_Nadir_Naeem,Afghanistan,41840150,1038680015,Stub
Daoud Naji,https://en.wikipedia.org/wiki/Daoud_Naji,Afghanistan,66087536,1110983467,Start
Gholam Rabani Nasher,https://en.wikipedia.org/wiki/Gholam_Rabani_Nasher,Afghanistan,2333651,916899472,Stub
Muhammad Yunus Nawandish,https://en.wikipedia.org/wiki/Muhammad_Yunus_Nawandish,Afghanistan,29611637,1111494390,C
Ali Maisam Nazary,https://en.wikipedia.org/wiki/Ali_Maisam_Nazary,Afghanistan,68786729,1107279930,Start
Ghulam Faroq Nijrabi,https://en.wikipedia.org/wiki/Ghulam_Faroq_Nijrabi,Afghanistan,27669652,1093612575,Stub
Zabih-U-llah Ghazi Noristani,https://en.wikipedia.org/wiki/Zabih-U-llah_Ghazi_Noristani,Afghanistan,27664625,1001786762,Start
Mohammed Tahir Omar,https://en.wikipedia.org/wiki/Mohammed_Tahir_Omar,Afghanistan,29170618,996093541,Stub
Nasrin Oryakhil,https://en.wikipedia.org/wiki/Nasrin_Oryakhil,Afghanistan,43750807,1097277701,Start
Murad Quenili,https://en.wikipedia.org/wiki/Murad_Quenili,Afghanistan,43297731,1093963498,Stub
Ghulam Mohammad Rigi,https://en.wikipedia.org/wiki/Ghulam_Mohammad_Rigi,Afghanistan,27657851,918256992,Stub
Ghulam Hassan Safi,https://en.wikipedia.org/wiki/Ghulam_Hassan_Safi,Afghanistan,25634863,987269301,Stub
Hanifa Safi,https://en.wikipedia.org/wiki/Hanifa_Safi,Afghanistan,36473152,994195074,Stub
Amrullah Saleh,https://en.wikipedia.org/wiki/Amrullah_Saleh,Afghanistan,26000816,1115022704,FA
Mohammed Zia Salehi,https://en.wikipedia.org/wiki/Mohammed_Zia_Salehi,Afghanistan,28566318,889806024,Stub
Abdul Majid Samim,https://en.wikipedia.org/wiki/Abdul_Majid_Samim,Afghanistan,27678731,1098092701,Stub
Saber Sangar,https://en.wikipedia.org/wiki/Saber_Sangar,Afghanistan,51559994,1019860497,Stub
Muhammad Arif Sarwari,https://en.wikipedia.org/wiki/Muhammad_Arif_Sarwari,Afghanistan,25997147,1079170926,Start
Sayed Nasim Mihanparast,https://en.wikipedia.org/wiki/Sayed_Nasim_Mihanparast,Afghanistan,34845573,1115496635,Stub
Sayyid Husayn,https://en.wikipedia.org/wiki/Sayyid_Husayn,Afghanistan,70693571,1095559301,Stub
Suhail Shaheen,https://en.wikipedia.org/wiki/Suhail_Shaheen,Afghanistan,68232272,1102910228,Start
Mohammad Shakir Kargar,https://en.wikipedia.org/wiki/Mohammad_Shakir_Kargar,Afghanistan,38160088,1096574840,C
Baktash Siawash,https://en.wikipedia.org/wiki/Baktash_Siawash,Afghanistan,38515087,1111917754,Stub
Awtar Singh,https://en.wikipedia.org/wiki/Awtar_Singh,Afghanistan,8340018,1115100619,Stub
Hasan Ali Sultani,https://en.wikipedia.org/wiki/Hasan_Ali_Sultani,Afghanistan,27666240,1060706902,Stub
Faramarz Tamanna,https://en.wikipedia.org/wiki/Faramarz_Tamanna,Afghanistan,43408533,1106885861,C
Mohammad Hashem Taufiqui,https://en.wikipedia.org/wiki/Mohammad_Hashem_Taufiqui,Afghanistan,23564221,1021308429,Start
Nur ul-Haq Ulumi,https://en.wikipedia.org/wiki/Nur_ul-Haq_Ulumi,Afghanistan,41091568,1107429109,GA
Pacha Gul Wafadar,https://en.wikipedia.org/wiki/Pacha_Gul_Wafadar,Afghanistan,47145503,1020846299,Stub
Wahidullah Waissi,https://en.wikipedia.org/wiki/Wahidullah_Waissi,Afghanistan,52202939,1111508295,C
Gul Ahmmad Yama,https://en.wikipedia.org/wiki/Gul_Ahmmad_Yama,Afghanistan,27656776,1060707715,Start
Al-Haj Suliman Yari,https://en.wikipedia.org/wiki/Al-Haj_Suliman_Yari,Afghanistan,40325860,1092426408,Stub
Abdul Salam Zaeef,https://en.wikipedia.org/wiki/Abdul_Salam_Zaeef,Afghanistan,627316,1106388504,GA
Abdul Zahir (Konar Education Minister),https://en.wikipedia.org/wiki/Abdul_Zahir_(Konar_Education_Minister),Afghanistan,24671281,1097261199,Stub
Mohammed Zaman,https://en.wikipedia.org/wiki/Mohammed_Zaman,Afghanistan,4928280,1108389318,Start
Ziauddin (Afghan militia leader),https://en.wikipedia.org/wiki/Ziauddin_(Afghan_militia_leader),Afghanistan,12829636,1095799892,Start
Qari Ziauddin,https://en.wikipedia.org/wiki/Qari_Ziauddin,Afghanistan,13849010,1033608758,Start
Abdul Ghafor Zori,https://en.wikipedia.org/wiki/Abdul_Ghafor_Zori,Afghanistan,27656055,994023417,Stub
Ali Pasha of Gusinje,https://en.wikipedia.org/wiki/Ali_Pasha_of_Gusinje,Albania,7249978,1114426634,GA
Ylli Asllani,https://en.wikipedia.org/wiki/Ylli_Asllani,Albania,43393251,949182924,Start
